dissim	el0	el1	el2	el3	el4	el5	el6	el7	el8	el9	el10	el11	el12	el13	el14	el15	max_el	diff	diffplus	diffminus	std	diff/std**0.2	diff/std**0.6	diff/std**1	diff/std**1.4	diff/std**2	maxmiddle	similarwindow_4.0	similarwindow_4.1	similarwindow_4.2	similarwindow_4.3	stat0	stat1	stat2	stat3	stat4	stat5	stat6	stat7	stat8	stat9	stat10	stat11	stat12	stat13	stat14	stat15	stat16	stat17	stat18	stat19	stat20	stat21	stat22	stat23	stat24	stat25	stat26	stat27	stat28	stat29	stat30	stat31	stat32	stat33	stat34	stat35	stat36	stat37	stat38	stat39	stat40	stat41	stat42	stat43	stat44	class
0.011613	0.076909	0.090546	0.1295	0.20094	0.05384	0.14403	0.132	0.1643	0.20082	0.18688	0.097636	0.011194	0.022251	0.013112	0.011421	0.022725	0.20094	0.14621	0.06524	-0.08097	0.038538	0.17659	0.25727	0.3698	0.50715	0.58833	0.25	0.30311	0.81734	0.89321	0.94601	0.039951	0.022932	0.053192	0.091671	0.03459	0.078805	0.08324	0.088589	0.1065	0.09913	0.052941	0.0040056	0.01233	0.0068757	0.0063607	0.0064418	0.26621	0.26982	0.26317	0.26801	0.069888	-0.068377	0.093814	0.14096	-0.032027	0.1039	-0.020352	0.12093	0.14141	0.14115	0.11431	-0.14133	0.089847	-0.059985	0.084419	0.080494	0.035917	-0.058772	0.10714	0.026928	-0.033919	-0.043977	-0.01008	-0.033956	1.9416	446
0.014328	0.10236	0.058741	0.061368	0.088925	0.10403	0.16085	0.16235	0.29169	0.29596	0.23088	0.12626	0.04518	0.023429	0.017664	0.0087405	0.011322	0.29596	0.19227	0.072057	-0.12021	0.046082	0.22407	0.30412	0.40836	0.52945	0.61554	0.46875	0.10214	0.58853	0.81733	0.94212	0.065081	0.017419	0.0072233	0.037047	0.048288	0.10155	0.10877	0.16343	0.15832	0.13165	0.068508	0.038164	0.0091852	0.0083094	0.0050277	0.0018174	0.26982	0.30792	0.24477	0.27885	-0.069542	0.089283	0.13583	-0.097924	-0.13928	-0.081635	-0.10278	0.078144	0.13059	0.060542	0.11353	-0.13974	0.085817	0.12448	-0.14094	-0.13982	-0.1013	-0.066016	-0.0020679	-0.043123	-0.043835	-0.039402	-0.025917	-0.037356	1.8981	455
0.0086743	0.064631	0.025383	0.042083	0.13135	0.06602	0.090113	0.12603	0.21095	0.13322	0.03363	0.027712	0.01511	0.012519	0.0075858	0.011027	0.010613	0.21095	0.13407	0.073258	-0.060812	0.029505	0.17079	0.27658	0.4395	0.65023	0.71675	0.29688	0.13688	0.49914	0.32074	0.36323	0.034862	0.017112	0.025441	0.076448	0.035642	0.047909	0.067361	0.11279	0.073117	0.018416	0.012069	0.0060328	0.0054449	0.0036993	0.003877	0.0084253	0.23324	0.27028	0.23621	0.2491	0.12049	-0.12016	0.0061339	0.041408	0.11948	0.13826	0.13163	0.13121	0.10039	0.10294	-0.0075223	0.071169	-0.12759	0.072398	-0.12282	-0.13006	0.30909	0.18142	0.28826	0.2542	0.063941	0.0052372	0.056087	0.035316	1.7297	322
0.008499	0.074922	0.084507	0.033778	0.11841	0.036261	0.063504	0.096636	0.1972	0.1188	0.03773	0.032245	0.010665	0.019285	0.01963	0.013555	0.013826	0.1972	0.072098	0.039498	-0.0326	0.026991	0.093494	0.15683	0.25758	0.38979	0.41711	0.4375	0.15928	0.34809	0.33919	0.47555	0.034387	0.028945	0.013643	0.070734	0.015514	0.01934	0.052753	0.10468	0.056372	0.0059302	0.0088082	0.00086344	0.0047717	0.011755	0.0061091	0.0036312	0.2267	0.26092	0.23888	0.24295	-0.12412	0.14131	-0.13625	0.10635	0.1338	0.14126	0.10651	0.14023	0.12791	0.12304	0.063908	0.1313	0.073446	0.050767	-0.1356	0.024512	0.24984	0.2118	0.27129	0.24496	0.035774	0.010353	0.055597	0.033183	1.7511	390
0.020404	0.046228	0.15761	0.16188	0.27603	0.30634	0.28878	0.3018	0.28331	0.24069	0.21836	0.083431	0.031345	0.010247	0.0097446	0.012295	0.011478	0.30634	0.33215	0.21401	-0.11813	0.068971	0.35716	0.41302	0.47469	0.53607	0.57694	0.21875	0.10016	1.2029	1.2348	1.2402	0.029872	0.099692	0.10411	0.17133	0.1879	0.17426	0.18091	0.1731	0.13643	0.12209	0.045433	0.0055828	0.0035031	0.0021601	0.0049804	0.0049782	0.19311	0.36653	0.28266	0.30237	-0.035488	-0.045027	-0.032649	-0.0096499	-0.0012002	0.011118	0.016375	0.0016864	0.066356	0.080301	-0.051941	-0.11503	-0.0043909	-0.087713	0.039585	-0.059166	-0.018237	-0.025404	-0.0084359	0.056692	-0.048653	-0.053013	-0.053001	-0.038137	2.028	3056
0.013367	0.053438	0.087106	0.11317	0.092176	0.10659	0.18466	0.20628	0.25806	0.22786	0.15787	0.085399	0.0083549	0.01606	0.014205	0.010026	0.0084513	0.25806	0.213	0.10232	-0.11067	0.050503	0.24374	0.319	0.41356	0.52027	0.5999	0.35938	0.061417	0.83109	0.87192	0.90766	0.026358	0.037682	0.061451	0.048962	0.049317	0.099164	0.10943	0.13708	0.11602	0.085611	0.045989	0.0020967	0.0013772	0.0088984	0.004703	0.0023759	0.26922	0.31602	0.27049	0.29033	0.11418	0.10937	0.11267	0.1394	0.13668	0.0063217	0.14102	0.13932	0.13915	0.11416	0.12245	0.13693	-0.14123	-0.12674	0.11079	0.14134	0.15855	0.020083	0.17504	0.11408	-0.0048917	-0.041956	-0.0041051	-0.024833	1.9751	461
0.0071766	0.0688	0.073563	0.13393	0.043639	0.040912	0.049233	0.076504	0.15642	0.041946	0.011018	0.0078193	0.010961	0.016656	0.017539	0.010494	0.0056707	0.15642	0.087643	0.04411	-0.043533	0.024613	0.11576	0.20139	0.34218	0.52923	0.54579	0.35938	0.1441	0.21498	0.33891	0.26092	0.037438	0.039252	0.071029	0.024738	0.012609	0.026292	0.022391	0.087654	0.02225	0.0063082	0.0028067	0.0017949	0.0033359	0.0075333	0.00075273	0.0028611	0.29119	0.32354	0.28609	0.30139	0.11018	0.13371	0.14138	0.03384	0.026032	0.13267	-0.11978	0.077987	0.14112	-0.094803	-0.074953	-0.040319	0.085711	0.038281	0.13238	-0.1281	0.30235	0.25704	0.29547	0.28556	0.027146	0.0059868	0.024466	0.019619	1.6179	318
0.021944	0.035663	0.12709	0.2906	0.3583	0.29792	0.1198	0.16793	0.26281	0.26085	0.30042	0.15513	0.03483	0.014293	0.016814	0.021619	0.01982	0.3583	0.3422	0.24559	-0.096607	0.058007	0.3809	0.47184	0.57993	0.69603	0.784	0.15625	0.089482	0.67653	0.55609	0.62197	0.016538	0.072391	0.17952	0.22215	0.17848	0.11604	0.12978	0.18361	0.17083	0.21319	0.12166	0.018104	0.0050381	0.0039015	0.012137	0.0043986	0.1247	0.30935	0.22878	0.25425	0.10433	0.061522	-0.006343	-0.0088699	0.016828	-0.13945	-0.10834	-0.07463	-0.043165	-0.080963	-0.11198	0.02735	0.10454	-0.087824	0.076026	0.12035	0.15654	0.039363	0.013804	0.14854	-0.010888	-0.042564	-0.045233	-0.013857	1.9576	1233
0.013602	0.078276	0.074896	0.11873	0.086562	0.095427	0.19304	0.23073	0.16348	0.16467	0.13454	0.128	0.012769	0.012098	0.010457	0.011807	0.010601	0.23073	0.17231	0.096159	-0.076147	0.051912	0.19609	0.25385	0.32565	0.40591	0.46634	0.29688	0.17343	0.6637	0.73047	1.0562	0.030051	0.039786	0.050762	0.046361	0.052367	0.1099	0.12298	0.089714	0.090847	0.071852	0.047908	0.0021496	0.0032137	0.00031515	0.0033364	0.0040118	0.30644	0.37956	0.3198	0.33894	0.12281	0.13931	0.13804	0.12911	0.10056	0.062025	0.13507	0.072929	0.09463	-0.07425	0.11165	0.042906	0.13633	0.023129	0.03749	-0.1066	-0.043521	-0.05703	-0.063408	-0.042044	-0.057628	-0.056894	-0.057854	-0.055373	1.8291	412
0.012724	0.047768	0.11805	0.1757	0.33531	0.086383	0.031134	0.011512	0.016395	0.046013	0.041594	0.029932	0.008305	0.04306	0.014192	0.015616	0.027044	0.33531	0.092032	0.064179	-0.027853	0.032635	0.11491	0.17879	0.27362	0.3939	0.44566	0.46875	0.088412	0.13626	0.23352	0.22145	0.020718	0.043506	0.11294	0.19754	0.018516	0.00087417	0.00588	0.002923	0.024942	0.022383	0.013967	0.0050586	0.0060169	0.0052391	0.0044387	0.010966	0.18057	0.28846	0.24999	0.24486	0.12949	0.071584	-0.032345	-0.10089	0.092312	0.13601	-0.14115	-0.14105	0.11468	0.12336	0.056395	-0.13926	-0.0094089	-0.13781	-0.053281	0.1059	0.32104	0.3615	0.35723	0.38598	0.046107	0.05825	0.055777	0.085766	1.0902	466.5
